1551568852.74,-0.3,0,l,35.3300018311
1551568852.74,-0.3,0,r,41.2400016785
1551568852.87,-0.3,0,r,43.9099998474
1551568852.87,-0.3,0,l,42.8199996948
1551568852.97,-0.3,0,l,49.7900009155
1551568852.97,-0.3,0,r,47.5699996948
1551568853.11,-0.3,0,l,54.2099990845
1551568853.11,-0.3,0,r,52.2799987793
1551568853.24,-0.3,0,l,58.5299987793
1551568853.24,-0.3,0,r,56.9300003052
1551568853.34,-0.3,0,r,61.6599998474
1551568853.34,-0.3,0,l,62.8699989319
1551568853.47,-0.3,0,l,67.9700012207
1551568853.47,-0.3,0,r,67.1299972534
1551568853.57,-0.3,0,r,72.8099975586
1551568853.57,-0.3,0,l,73.25
1551568853.71,-0.3,0,l,78.3499984741
1551568853.71,-0.3,0,r,77.0599975586
1551568853.81,-0.3,0,l,83.6200027466
1551568853.81,-0.3,0,r,83.2200012207
1551568853.94,-0.3,0,l,88.5
1551568853.94,-0.3,0,r,87.6699981689
1551568854.04,-0.3,0,l,94.9300003052
1551568854.04,-0.3,0,r,92.7200012207
1551568854.17,-0.3,0,l,97.3099975586
1551568854.17,-0.3,0,r,97.2600021362
1551568854.27,-0.3,0,l,104.13999939
1551568854.27,-0.3,0,r,102.779998779
1551568854.4,-0.3,0,r,108.169998169
1551568854.4,-0.3,0,l,109.089996338
1551568854.5,-0.3,0,r,114.0
1551568854.5,-0.3,0,l,101.370002747
1551568854.64,-0.3,0,l,104.260002136
1551568854.64,-0.3,0,r,118.879997253
1551568854.74,-0.3,0,l,116.059997559
1551568854.74,-0.3,0,r,125.069999695
1551568854.87,-0.3,0,l,121.300003052
1551568854.87,-0.3,0,r,33.5800018311
1551568854.97,-0.3,0,l,135.850006104
1551568854.97,-0.3,0,r,35.5600013733
1551568890.13,-0.22,0,l,9.61999988556
1551568890.13,-0.22,0,r,13.279999733
1551568890.26,-0.22,0,r,13.7399997711
1551568890.26,-0.22,0,l,14.3699998856
1551568890.36,-0.22,0,l,15.5600004196
1551568890.36,-0.22,0,r,14.8599996567
1551568890.49,-0.22,0,r,15.5399999619
1551568890.49,-0.22,0,l,16.2299995422
1551568890.59,-0.22,0,r,16.2000007629
1551568890.59,-0.22,0,l,16.7999992371
1551568890.73,-0.22,0,r,16.6599998474
1551568890.73,-0.22,0,l,16.9500007629
1551568890.83,-0.22,0,l,17.5100002289
1551568890.83,-0.22,0,r,17.2199993134
1551568890.96,-0.22,0,l,18.0699996948
1551568890.96,-0.22,0,r,17.3700008392
1551568891.09,-0.22,0,r,17.9500007629
1551568891.09,-0.22,0,l,18.6299991608
1551568891.19,-0.22,0,r,18.3899993896
1551568891.19,-0.22,0,l,19.1599998474
1551568891.32,-0.22,0,r,18.7700004578
1551568891.32,-0.22,0,l,19.1399993896
1551568891.42,-0.22,0,l,19.5200004578
1551568891.42,-0.22,0,r,19.2099990845
1551568891.56,-0.22,0,r,19.1599998474
1551568891.56,-0.22,0,l,19.8899993896
1551568891.66,-0.22,0,l,19.9200000763
1551568891.66,-0.22,0,r,19.1800003052
1551568891.79,-0.22,0,r,19.1599998474
1551568891.79,-0.22,0,l,19.9200000763
1551568891.89,-0.22,0,r,19.5799999237
1551568891.89,-0.22,0,l,19.8700008392
1551568892.02,-0.22,0,r,19.5799999237
1551568892.02,-0.22,0,l,19.9200000763
1551568892.12,-0.22,0,r,19.5799999237
1551568892.12,-0.22,0,l,19.9200000763
1551568892.26,-0.22,0,l,19.8199996948
1551568892.26,-0.22,0,r,19.0599994659
1551568892.39,-0.22,0,l,19.9200000763
1551568892.39,-0.22,0,r,19.1800003052
1551568892.49,-0.22,0,l,19.9400005341
1551568892.49,-0.22,0,r,19.1800003052
1551568892.62,-0.22,0,r,19.1800003052
1551568892.62,-0.22,0,l,19.9200000763
1551568892.75,-0.22,0,l,19.9400005341
1551568892.76,-0.22,0,r,19.1599998474
1551568892.85,-0.22,0,l,19.9200000763
1551568892.86,-0.22,0,r,19.1599998474
1551568892.99,-0.22,0,l,19.8199996948
1551568892.99,-0.22,0,r,19.0699996948
1551568893.09,-0.22,0,r,19.1800003052
1551568893.09,-0.22,0,l,19.9200000763
1551568907.34,-0.24,0,l,9.43999958038
1551568907.34,-0.24,0,r,9.06000041962
1551568907.47,-0.24,0,r,9.73999977112
1551568907.47,-0.24,0,l,10.5100002289
1551568907.57,-0.24,0,l,11.5399999619
1551568907.57,-0.24,0,r,11.2399997711
1551568907.7,-0.24,0,l,13.3999996185
1551568907.7,-0.24,0,r,12.6800003052
1551568907.8,-0.24,0,l,14.9899997711
1551568907.8,-0.24,0,r,13.8599996567
1551568907.93,-0.24,0,r,15.5900001526
1551568907.93,-0.24,0,l,16.3899993896
1551568908.03,-0.24,0,l,17.2000007629
1551568908.04,-0.24,0,r,16.8099994659
1551568908.17,-0.24,0,r,17.6299991608
1551568908.17,-0.24,0,l,18.4300003052
1551568908.3,-0.24,0,l,19.2600002289
1551568908.3,-0.24,0,r,18.8500003815
1551568908.4,-0.24,0,r,19.9400005341
